C10396497	http://appstore.huawei.com:80/app/C10396497	猪猪侠百变飞车	introduction: 首款官方授权正版赛车游戏《猪猪侠百变飞车》，国内唯一自研3D引擎赛车手游，世界级赛车游戏开发团队。游戏画面精美，赛车酷炫，变身技能华丽，高品质赛车手游，满足你一切期待！游戏特色：【超级变身 畅爽体验】首创变身系统，深度结合猪猪侠动漫五灵变身情节，变身后无敌加速，并撞晕路上碰到的其他角色造成一定伤害，打造极致畅爽体验。【动漫角色 原声配音】全3D骨骼动画技术高度还原动漫角色+原配音演员录音（猪猪侠、波比、菲菲、小呆呆、超人强）【独特关卡 冠军联赛】独创神秘关卡模式，激烈的三轮赛事（道具赛、淘汰赛、单挑赛）晋级，获胜大量资源道具，每日挑战等多样活动一起来玩！你就是冠军！【趣味跑道 旋转360°】充分融入许多猪猪侠动漫，大电影细节元素，童话王国、奇迹村落、黑暗火山等赛道图，更有大锤子障碍，360°旋转跑道等你来玩哦	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/451be2129a03402a995df64e12883f57.png	recommendation C10221865:熊出没之保卫家…,recommendation C10249215:超级玛丽酷跑,recommendation C10271994:火柴人联盟,recommendation C10203747:拳皇97,recommendation C10148546:别踩白块儿,recommendation C10269239:单机斗地主,recommendation C10253039:疯狂出租车：都…,recommendation C10113531:保卫萝卜2,recommendation C10167895:3D终极车神,recommendation C10137599:滑雪大冒险,recommendation C10192426:熊出没之熊大快…,recommendation C10170092:爸爸去哪儿2,recommendation C10193973:铠甲勇士之英雄…,recommendation C10167895:3D终极车神,recommendation C10142991:奔跑吧兄弟：我…,recommendation C10285214:猫和老鼠官方手…,recommendation C10141115:激流快艇2,recommendation C10235962:喜羊羊快跑,recommendation C10299210:全民漂移：漂移…,recommendation C10240812:熊出没2,
C43397	http://appstore.huawei.com:80/app/C43397	百度浏览器	introduction: 上百度浏览器，做个有趣的人！上网更快更安全更省流，超4亿用户的选择！【T7极速体验】网页浏览，快人一步！告别卡顿白屏闪退，上网更稳定！【嗨翻趣星球】脑洞大开的奇葩趣事，弹幕biubiu吐不停！“逗比”红人纷纷入驻，新鲜趣味持续放送，更有“话题吐槽”全新上线，支持图文并发，焦点内容，你来创造！【视频玩不停】视频栏目华丽变身，给你沉浸式的使用体验。丰富视频汇聚万千资源，高清内容无广告播放，看得爽！【小说看不够】清新界面，精致阅读体验，精选书单、权威榜单，可离线下载更多小说，更新随时提醒！【热点全掌握】聚合内容精挑细选，时事热点资讯，一手全掌握，参与点评互动，更有态度！【主题随心换】多款明星及热门主题唯美上线，更可自定义上传，我的首页我做主！张扬个性，风格多样！	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/a9395870619942faa6c306245960365e.png	recommendation C31346:手机百度,recommendation C21976:UC浏览器,recommendation C174391:百度云,recommendation C183901:WiFi信号增强…,recommendation C9097:百度知道,recommendation C2682:搜狗输入法,recommendation C18815:百度新闻,recommendation C11995:百度视频,recommendation C3382:百度地图,recommendation C10057661:Google Play,recommendation C27162:华为应用市场,recommendation C66323:华为备份,recommendation C10055832:华为文件管理(…,recommendation C21976:UC浏览器,recommendation C10067631:华为手机服务,recommendation C10207207:华为云服务,recommendation C20679:QQ浏览器,recommendation C10059090:华为游戏中心,recommendation C10060708:华为支付,recommendation C2682:搜狗输入法,
C10147130	http://appstore.huawei.com:80/app/C10147130	PopStar！消灭星星官方正版	introduction: 《PopStar!消灭星星》是一款非常易上手的消除类游戏，游戏的规则简单：只需点击两个或两个以上颜色相同的方块即可消除。没有时间限制，每个阶段都有一个目标，完成即可进入下一关。简单轻松的治愈系游戏PopStar。游戏虽然简单，但想要玩出很高的分数还是要耗费不少脑细胞的，拿popstar开动脑筋打发时间也是不错的选择。如果喜欢消除游戏的话，PopStar是一个不错的选择。“官方正版”在游戏结束后，可以通过消耗一定数量“幸运星”货币来重新进行该关卡，助力获取高分。	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/f2a4c72b80f74bd084a6129248e02b0e.png	recommendation C10026769:水果忍者,recommendation C10148546:别踩白块儿,recommendation C10059250:神庙逃亡2,recommendation C10075868:地铁跑酷,recommendation C10167895:3D终极车神,recommendation C10141383:找你妹2015,recommendation C10174759:消灭糖果贺岁版,recommendation C10136202:保卫萝卜,recommendation C10162014:消灭星星2015,recommendation C10212671:阿达脑训练,recommendation C10134672:开心消消乐,recommendation C10075868:地铁跑酷,recommendation C10059250:神庙逃亡2,recommendation C10026769:水果忍者,recommendation C10147130:PopStar！消灭…,recommendation C10076817:植物大战僵尸2…,recommendation C10124645:神偷奶爸：小黄…,recommendation C10166495:捕鱼达人3,recommendation C10113531:保卫萝卜2,recommendation C10162014:消灭星星2015,
C13012	http://appstore.huawei.com:80/app/C13012	印象摄影HD	introduction: 印象摄影APP是中国地区最受欢迎的视觉类手机媒体！由网络发行量最大的视觉杂志《印象》月刊和《POCO周刊》组成，获苹果店5月综合下载排行前十、摄影类第一！视觉月刊《印象》创刊于2005年，由中国原创图片分享平台POCO.CN出品。网站杂志最高发行量为每月700万册，早已成为摄影爱好者、视觉达人、创意达人、时尚潮流人群必读高端网络读物！每月定时发行，内容包括：	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/d0540070aa75426ab2877706d53f91c6.png	recommendation C55726:明星同款-一闪…,recommendation C34075:手机淘宝,recommendation C5373:支付宝,recommendation C10049053:华为商城,recommendation C57804:天猫,recommendation C5206:美团,recommendation C10608:大众点评,recommendation C20252:京东,recommendation C31975:墨迹天气,recommendation C135323:灵犀语音助手,recommendation C9136:唯品会,
C10424500	http://appstore.huawei.com:80/app/C10424500	格斗学院	introduction: 无厘头萌系动作手游《格斗学院》酷炫来袭！《格斗学院》以校园风格为背景，在那狼牙区！在那飞虎路！这就是无法无天的格斗学院！公交不敢进站，出租不敢停靠，没有人敢得罪你留级魔王赵日天！拳打孙悟空脚踩阿拉蕾，这片高中，已经是你制霸的领地！《格斗学院》拥有独家英雄变身系统，多种炫酷英雄供玩家体验!超级红巨人大战机械达人，黄大锤大战八岐无双，子龙拜倒女王裙下…各种英雄重现江湖，想想还有点小激动!手游电竞，公平第一!用精致的微操和畅爽的连招来打造热血澎湃的游戏体验。用实力说话，不再被土豪吊打!作为移动电竞扛鼎之作，绝对无愧于“公平竞技”四个大字!专注格斗，缔造殿堂级打击体验精心构建，只为给你业界领先的打击反馈。快节奏过招中引爆感官浪潮，拳拳到肉!每一次出拳，都有惊喜发生，根本停不下来!优化出招设计，萌妹子也能打电竞告别繁琐搓招，优化格斗设计，带给玩家最畅爽的游戏体验!酷炫连招，轻松上手，妹子也能打电竞!你的对手，可能就是超萌小萝莉哦!	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/4aeb761ed7fb4b87aac9c4afbcdcc99b.png	recommendation C10269239:单机斗地主,recommendation C10221865:熊出没之保卫家…,recommendation C2861:同花顺,recommendation C10241662:欢乐斗地主(有…,recommendation C107781:自选股,recommendation C10148546:别踩白块儿,recommendation C10237091:猪猪侠爱消除,recommendation C5980:诚品快拍,recommendation C10196888:二维码扫描,recommendation C10155859:2048,recommendation C10167041:乱斗西游2,recommendation C191016:时空猎人,recommendation C10137599:滑雪大冒险,recommendation C10105355:红警4:大国崛起,recommendation C10271994:火柴人联盟,recommendation C10190546:太极熊猫,recommendation C10309049:魔兽无双,recommendation C10151951:剑魂之刃,recommendation C10249215:超级玛丽酷跑,recommendation C10142359:亡灵杀手：夏侯…,
C10433925	http://appstore.huawei.com:80/app/C10433925	动感奥特超人	introduction: 简介：参与刺激紧张救援任务，与强大的奥特曼共同联手对战boss【爽快激战奥特曼游戏】·奔跑、格斗、射击、塔防，体验多种不同的交互玩法，每天固定赢取丰厚奖励！·独特的战队设置，呼叫人类小伙伴，抱团打怪，驱逐小怪兽！·在危在旦夕的地球村中，酣战怪物头头。在对战模式中，挑战最强王者，步入史诗殿堂！无限模式里，极限输出，挑战操作极限【最强大的光之国阵容】·初代奥特曼、赛文奥特曼、泰罗奥特曼各携看家本领加入战场！升级奥特曼，领悟究极技能！华丽特效，动感超人，暴虐怪兽，一起来玩！	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/81de7ac72ffb4a44843f8c69553e7ef2.png	recommendation C10269239:单机斗地主,recommendation C10221865:熊出没之保卫家…,recommendation C2861:同花顺,recommendation C10241662:欢乐斗地主(有…,recommendation C10148546:别踩白块儿,recommendation C10237091:猪猪侠爱消除,recommendation C10113531:保卫萝卜2,recommendation C5980:诚品快拍,recommendation C10249215:超级玛丽酷跑,recommendation C20252:京东,recommendation C10167041:乱斗西游2,recommendation C191016:时空猎人,recommendation C10137599:滑雪大冒险,recommendation C10105355:红警4:大国崛起,recommendation C10271994:火柴人联盟,recommendation C10190546:太极熊猫,recommendation C10309049:魔兽无双,recommendation C10151951:剑魂之刃,recommendation C10249215:超级玛丽酷跑,recommendation C10142359:亡灵杀手：夏侯…,
C10073432	http://appstore.huawei.com:80/app/C10073432	Wind资讯HD	introduction: 【你不理财 财不理你】手机炒股用万得就够了 【牛市赚钱 熊市钻研】大盘下跌时您更需要万得的帮助 敬请关注新浪微博“@Wind资讯”了解我们更多的动态● 专注于为中国机构投资者提供服务的万得资讯,推出移动领域的证券分析软件,让您与50,000位金融专家共享全新的证券投资体验。● 覆盖全球金融市场的数据与信息,包含股票、债券、期货、外汇、基金、指数、宏观与行业等品种,7×24×365不间断提供准确、及时、完整的金融资讯。● 丰富的个股深度资料,包括公司概况、机构观点、主力持仓、股本股东、财务数据等。万得资讯是中国互联网金融领导品牌，公司总部位于上海陆家嘴金融中心。万得资讯坚定“数据就是未来”的经营理念，坚持“产品第一、用户至上”的卓越追求，专注“金融信息服务”的深厚积淀；产品覆盖90%以上的金融机构和财经媒体，得到数千万用户的高度赞赏和口碑推荐。	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/e8534324cc4f48f2afb6ca7a172cccf4.png	recommendation C107781:自选股,recommendation C2861:同花顺,recommendation C10148748:大智慧,recommendation C2955:万得股票,recommendation C10144491:牛股王股票,recommendation C124901:天天基金网,recommendation C10102350:雪球,recommendation C10092751:中国银行手机银…,recommendation C27936:东方财富网,recommendation C5980:诚品快拍,recommendation C10217244:华为钱包,recommendation C2861:同花顺,recommendation C10092701:中国建设银行,recommendation C3400:随手记,recommendation C10366337:翼支付,recommendation C10140478:竞彩258彩票,recommendation C10158625:钱包,recommendation C10092751:中国银行手机银…,recommendation C10101754:招商银行,recommendation C10243018:中国工商银行,
C10427378	http://appstore.huawei.com:80/app/C10427378	傲视沙城	introduction: 《傲视沙城》年度备受瞩目的全民PK手游力作。延续了战法道三大经典职业。采用全新PK引擎和社交系统、超稳定的经济系统加上欠打的战斗系统，开启掌上全民PK新纪元。新添加注灵、灵羽、战神、圣兽等花样玩法，从此告别枯燥刷怪升级。带你重回最经典的屠龙盛世、这是一个奇幻的传奇世界，光怪陆离，神秘无尽。真正的强者，君临天下，屠龙救世，书写你自己的传说！	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/98f2fac93d4f48b2b93401fb030117f4.png	recommendation C10148546:别踩白块儿,recommendation C10237091:猪猪侠爱消除,recommendation C10155859:2048,recommendation C10178898:植物大战僵尸全…,recommendation C10200882:雷电2016（雷霆…,recommendation C10271994:火柴人联盟,recommendation C10353481:熊出没之疯狂弹…,recommendation C10114943:割绳子2,recommendation C183901:WiFi信号增强…,recommendation C10281290:大兵突击,recommendation C10126869:刀塔传奇,recommendation C10242764:梦幻西游,recommendation C10071457:神魔,recommendation C10139539:果宝三国,recommendation C10272089:花千骨,recommendation C10182781:战舰帝国,recommendation C10272617:啪啪巫妖王,recommendation C10173884:天龙八部3D,recommendation C10178898:植物大战僵尸全…,recommendation C10113932:秦时明月,
C10435775	http://appstore.huawei.com:80/app/C10435775	火线冲突	introduction: 3D国民枪战手游《火线冲突》来袭，枪战大片一触即发！【真3D全景  枪战大片画质】U3D引擎打造，高精度大型3D建模，玩出大片感【重温经典地图 革新机械科技】40张CS经典地图，超全枪械装备，百种组合超刺激【节奏带感爽快 杜绝站桩输出】真人动作捕捉技术，点触式体验，战斗爽快停不下【另类任务玩法 决战高智能AI】独创6种敌人，20种AI搭配，另类玩法刺激不重样	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/2a53cb2864d446f797c793238357c55e.png	recommendation C10269239:单机斗地主,recommendation C10221865:熊出没之保卫家…,recommendation C10241662:欢乐斗地主(有…,recommendation C107781:自选股,recommendation C10148546:别踩白块儿,recommendation C10237091:猪猪侠爱消除,recommendation C10113531:保卫萝卜2,recommendation C5980:诚品快拍,recommendation C10196888:二维码扫描,recommendation C10155859:2048,recommendation C10175362:全民枪战,recommendation C10206553:坦克前线：帝国…,recommendation C10119037:3D坦克争霸,recommendation C10083853:3D暴力摩托,recommendation C10200882:雷电2016（雷霆…,recommendation C10203802:全民枪神,recommendation C10162821:雷电2014全民P…,recommendation C190636:3D终极狂飙2（…,recommendation C10063783:3D终极狂飙3,recommendation C10136197:飞机大战,
C138984	http://appstore.huawei.com:80/app/C138984	正点闹钟pad版	introduction: ★热门赛事、综艺、追剧等一键添加提醒，响铃即可直接 播放；★让最爱的人叫你起床——自定义闹钟铃声和响铃界面；★萌妹纸正点语音报时；★支持多种提醒模版，支持多种闹钟循环模式；2013正点闹钟——为华人用户量身定做 完全免费 简单易用 贴心的生活提醒服务！ - 超过10,000,000用户正在使用 - 曾获荣誉：2012年度中国移动应用热度排行榜DCCI最工具奖 2012年度微软Bizspark新创企业大赛决赛优胜奖 2011~2012年度最受欢迎的Android应用之一 腾讯：2011年优秀软件最具潜力奖 APP应用：2011年最佳设计奖 搜狐：2011年生活类最佳应用 …… 	thumbnail URL: http://appimg.hicloud.com/hwmarket/files/application/icon144/fff318bcfbc64d7fb88f57b34cbc8da7.png	recommendation C34075:手机淘宝,recommendation C10196888:二维码扫描,recommendation C5980:诚品快拍,recommendation C2861:同花顺,recommendation C10269239:单机斗地主,recommendation C20252:京东,recommendation C107781:自选股,recommendation C10057661:Google Play,recommendation C10114178:流量宝,recommendation C40224:相片组合 Phot…,recommendation C34075:手机淘宝,recommendation C5373:支付宝,recommendation C10049053:华为商城,recommendation C57804:天猫,recommendation C5206:美团,recommendation C10608:大众点评,recommendation C20252:京东,recommendation C31975:墨迹天气,recommendation C135323:灵犀语音助手,recommendation C9136:唯品会,
